epoch,train_loss,train_acc,val_loss,val_acc,val_f1,elapsed_s
1,1.903361,0.418295,1.555832,0.484637,0.463713,103.9
2,1.366832,0.576884,1.106442,0.650140,0.658930,120.6
3,1.098469,0.649454,0.902020,0.678073,0.682775,126.1
4,0.876186,0.725704,0.689588,0.779330,0.780060,126.4
5,0.678169,0.778102,0.595352,0.791201,0.790457,126.3
6,0.540266,0.825298,0.392657,0.850559,0.853369,126.3
7,0.411504,0.865643,0.313530,0.895950,0.899111,126.3
8,0.309236,0.896600,0.237232,0.920391,0.922110,126.3
9,0.251717,0.919183,0.183814,0.939944,0.943012,126.2
10,0.197390,0.934788,0.099136,0.974162,0.974753,126.3
11,0.151133,0.951535,0.068936,0.982542,0.982535,126.4
12,0.117605,0.964095,0.064847,0.976955,0.978457,126.3
13,0.096407,0.969551,0.057311,0.983939,0.985131,126.3
14,0.075542,0.975768,0.044043,0.986732,0.986494,126.3
15,0.057817,0.981731,0.019898,0.995810,0.995922,126.3
16,0.039994,0.986805,0.016730,0.995112,0.994946,126.0
17,0.035866,0.989343,0.004247,1.000000,1.000000,126.3
18,0.022735,0.992515,0.004117,0.999302,0.999341,126.2
19,0.014257,0.995940,0.001231,1.000000,1.000000,126.2
20,0.008804,0.997336,0.000787,1.000000,1.000000,126.4
21,0.004981,0.998985,0.000516,1.000000,1.000000,126.3
22,0.002696,0.999873,0.000275,1.000000,1.000000,126.4
23,0.002117,0.999619,0.000263,1.000000,1.000000,126.3
24,0.001503,0.999873,0.000139,1.000000,1.000000,126.3
25,0.001124,1.000000,0.000123,1.000000,1.000000,126.4
26,0.001066,0.999873,0.000098,1.000000,1.000000,126.3
27,0.001024,1.000000,0.000099,1.000000,1.000000,126.4
28,0.000786,1.000000,0.000097,1.000000,1.000000,126.4
29,0.001234,0.999873,0.000104,1.000000,1.000000,127.1
30,0.000726,1.000000,0.000089,1.000000,1.000000,127.1
