class,precision,recall,f1,support
G1,100.0,100.0,100.0,70
G2,100.0,100.0,100.0,70
G3,100.0,100.0,100.0,70
G4,100.0,100.0,100.0,70
G5,100.0,100.0,100.0,70
G6,100.0,100.0,100.0,70
G7,100.0,100.0,100.0,70
G8,100.0,100.0,100.0,70
G9,100.0,100.0,100.0,70
G10,100.0,100.0,100.0,70
G11,100.0,100.0,100.0,70
G12,100.0,100.0,100.0,70
G13,100.0,100.0,100.0,70
G14,100.0,100.0,100.0,60
G15,100.0,100.0,100.0,60
N1,100.0,100.0,100.0,60
N2,100.0,100.0,100.0,60
N3,100.0,100.0,100.0,60
N4,100.0,100.0,100.0,60
N5,100.0,100.0,100.0,60
macro avg,100.0,100.0,100.0,1330
weighted avg,100.0,100.0,100.0,1330
